#EXPORTTYPE:           ,DATA ALL                      ,,
#FILE:                 ,sanidMtp3run1.ngb-sle         ,,
#FORMAT:               ,NETZSCH5                      ,,
#FTYPE:                ,ANSI                          ,,
#IDENTITY:             ,mt thrid orien                ,,
#DECIMAL:              ,POINT                         ,,
#SEPARATOR:            ,COMMA                         ,,
#MTYPE:                ,DIL                           ,,
#INSTRUMENT:           ,NETZSCH DIL 402C              ,,
#PROJECT:              ,morb                          ,,
#DATE/TIME:            ,11/14/2018 11:35:03 AM (UTC-6),,
#CORR. FILE:           ,                              ,,
#TEMPCAL:              ,TCALZERO.TMX                  ,,
#LABORATORY:           ,min phys                      ,,
#OPERATOR:             ,amh                           ,,
#REMARK:               ,bare, norm start, calib run   
#SAMPLE:               ,mt t ortho010                 ,,
#SAMPLE LENGTH /mm:    ,4.35,,
#MATERIAL:             ,sapphire stnd                 ,,
#MEASMODE:             ,Standard Expansion            ,,
#PURGE GAS 1:          ,ARGON                         ,,
#FLOW RATE 1 /(ml/min):,75,,
#M.RANGE /�m:          ,500,,
#CORR. CODE:           ,10,,
#RANGE:                ,20.0�C/3.0(K/min)/950.0�C     ,,
#SEGMENT:              ,S1/1                          ,,
#SEG. 1:               ,20.0�C/3.0(K/min)/950.0�C     ,,
,,,
##Temp./�C,Time/min,dL/Lo,
25.69,5.59,-9.9887E-05,
25.745,5.61167,-0.00010168,
25.819,5.63333,-0.00010299,
25.892,5.655,-0.00010459,
25.96,5.67667,-0.00010606,
26.026,5.69833,-0.00010875,
26.096,5.72,-0.00011103,
26.166,5.74167,-0.00011266,
26.237,5.76333,-0.0001135,
26.309,5.785,-0.00011522,
26.38,5.80667,-0.00011713,
26.454,5.82833,-0.00011841,
26.526,5.85,-0.00012071,
26.603,5.87167,-0.00012174,
26.675,5.89333,-0.00012343,
26.749,5.915,-0.00012558,
26.832,5.93667,-0.00012656,
26.907,5.95833,-0.00012818,
26.981,5.98,-0.00013078,
27.064,6.00167,-0.00013145,
27.14,6.02333,-0.00013266,
27.226,6.045,-0.00013506,
27.297,6.06667,-0.00013648,
27.39,6.08833,-0.00013831,
27.463,6.11,-0.00013988,
27.547,6.13167,-0.00014072,
27.638,6.15333,-0.00014242,
27.723,6.175,-0.00014391,
27.804,6.19667,-0.00014549,
27.891,6.21833,-0.0001471,
27.978,6.24,-0.00014838,
28.067,6.26167,-0.00015018,
28.146,6.28333,-0.00015185,
28.23,6.305,-0.00015326,
28.324,6.32667,-0.00015431,
28.415,6.34833,-0.00015518,
28.505,6.37,-0.0001575,
28.594,6.39167,-0.00015893,
28.685,6.41333,-0.00016006,
28.774,6.435,-0.00016189,
28.874,6.45667,-0.00016264,
28.954,6.47833,-0.00016385,
29.048,6.5,-0.00016492,
29.14,6.52167,-0.00016665,
29.228,6.54333,-0.00016725,
29.321,6.565,-0.00016891,
29.418,6.58667,-0.00017034,
29.512,6.60833,-0.00017151,
29.613,6.63,-0.00017242,
29.702,6.65167,-0.00017319,
29.795,6.67333,-0.00017522,
29.893,6.695,-0.0001755,
29.993,6.71667,-0.00017719,
30.083,6.73833,-0.00017836,
30.189,6.76,-0.00017941,
30.281,6.78167,-0.00018056,
30.385,6.80333,-0.00018087,
30.476,6.825,-0.00018206,
30.579,6.84667,-0.00018333,
30.674,6.86833,-0.00018391,
30.775,6.89,-0.00018425,
30.871,6.91167,-0.00018497,
30.97,6.93333,-0.00018601,
31.073,6.955,-0.00018694,
31.157,6.97667,-0.00018774,
31.264,6.99833,-0.00018841,
31.371,7.02,-0.00018939,
31.476,7.04167,-0.00019077,
31.576,7.06333,-0.00019059,
31.684,7.085,-0.00019148,
31.782,7.10667,-0.0001919,
31.891,7.12833,-0.00019342,
31.992,7.15,-0.00019306,
32.097,7.17167,-0.00019334,
32.19,7.19333,-0.00019414,
32.295,7.215,-0.00019451,
32.404,7.23667,-0.00019444,
32.498,7.25833,-0.00019575,
32.61,7.28,-0.00019598,
32.71,7.30167,-0.00019621,
32.812,7.32333,-0.00019616,
32.92,7.345,-0.00019717,
33.022,7.36667,-0.00019733,
33.135,7.38833,-0.00019715,
33.236,7.41,-0.00019737,
33.336,7.43167,-0.00019889,
33.441,7.45333,-0.00019865,
33.548,7.475,-0.00019863,
33.652,7.49667,-0.00019935,
33.753,7.51833,-0.0001994,
33.86,7.54,-0.00019894,
33.972,7.56167,-0.0001988,
34.079,7.58333,-0.00019906,
34.175,7.605,-0.00019892,
34.281,7.62667,-0.00019876,
34.393,7.64833,-0.00019876,
34.506,7.67,-0.00019846,
34.611,7.69167,-0.00019943,
34.719,7.71333,-0.00019894,
34.831,7.735,-0.00019779,
34.943,7.75667,-0.00019874,
35.049,7.77833,-0.00019818,
35.137,7.8,-0.00019835,
35.238,7.82167,-0.00019791,
35.348,7.84333,-0.00019755,
35.449,7.865,-0.00019751,
35.563,7.88667,-0.00019729,
35.667,7.90833,-0.00019712,
