,Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,1151.28296,366.57833,0.017091,0.010393753456838725,0.017082828396892905,0.010401925059945819,1130.09296,9.204486204343596e-06,0.010397508079684648,1.075526365233208e-05
0,1151.34399,366.6,0.017092,0.010394401230333018,0.017083861596520505,0.010402539633812512,1130.15399,9.204532944941876e-06,0.010398164474264008,1.0755291135799975e-05
0,1151.40698,366.62167,0.017093,0.01039506981556259,0.01708492801165152,0.01040314180391107,1130.21698,9.204552743413103e-06,0.010398841950946043,1.0755319502016864e-05
0,1151.46802,366.64333,0.017094,0.010395717711209413,0.01708596144634708,0.010403756264862334,1130.27802,9.20459929395277e-06,0.010399498456487386,1.075534699020209e-05
0,1151.52905,366.665,0.017095,0.010396365508594508,0.017086994744112502,0.010404370764482005,1130.33905,9.204645955107014e-06,0.010400154856152867,1.0755374473997138e-05
0,1151.59204,366.68667,0.017096,0.01039703411848714,0.017088061260556012,0.010404972857931127,1130.40204,9.204665676232439e-06,0.010400832338084389,1.0755402840568047e-05
0,1151.65601,366.70833,0.017097,0.010397713139224381,0.017089144405198438,0.010405568734025945,1130.4660099999999,9.204671915811026e-06,0.010401520362125523,1.0755431648601534e-05
0,1151.71399,366.73,0.017098,0.010398328585544875,0.017090126157476994,0.01040620242806788,1130.52399,9.204760376706274e-06,0.010402143962809456,1.0755457759240928e-05
0,1151.77405,366.75167,0.017099,0.010398966118162937,0.017091143160404006,0.01040682295775893,1130.58405,9.204820249992852e-06,0.01040278993641471,1.075548480671232e-05
0,1151.84094,366.77333,0.0171,0.010399676159736219,0.017092275853454013,0.010407400306282205,1130.65094,9.204786320950837e-06,0.010403509371800911,1.0755514930170287e-05
0,1151.896,366.795,0.017101,0.010400260632224293,0.01709320825043014,0.010408052381794153,1130.706,9.204914789338832e-06,0.0104041015711356,1.0755539726197965e-05
0,1151.95605,366.81667,0.017102,0.0104008980818446,0.01709422517914285,0.010408672902701747,1130.76605,9.204974718423628e-06,0.010404747442108135,1.0755566769588667e-05
0,1152.02295,366.83833,0.017103,0.010401608255366323,0.01709535814752109,0.010409250107845235,1130.83295,9.204940577514331e-06,0.010405466990532816,1.0755596898038498e-05
