Temp./�C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha,SplFit,Poly5,TightSpl
35.153,8.01667,-2.95e-05,0.000151029,-0.000205003,0.000326561,12.419,2.63e-05,0.00015249593740905825,1.69e-06,0.0001081566883088145,0.0002819928794428879,0.000326331801508766
35.256,8.03833,-2.92e-05,0.000151626,-0.00020339,0.000325799,12.522,2.6e-05,0.0001528974374507986,1.69e-06,0.00010865255575216924,0.000281968436211962,0.0003256503823046798
35.35800000000001,8.06,-2.87e-05,0.000152217,-0.000201793,0.000325309,12.624,2.58e-05,0.00015329520760830936,1.69e-06,0.00010914368701050843,0.00028194503659896607,0.0003249853766698215
35.464,8.081669999999999,-2.82e-05,0.000152831,-0.000200134,0.000324744,12.73,2.55e-05,0.00015370875386978974,1.7e-06,0.00010965416062442803,0.0002819215688960627,0.00032430451267086006
35.564,8.10333,-2.82e-05,0.000153411,-0.000198568,0.000323746,12.83,2.52e-05,0.00015409905743522584,1.7e-06,0.00011013581640238031,0.00028190022270541256,0.00032367163469461293
35.66900000000001,8.125,-2.77e-05,0.00015402,-0.000196923,0.00032321,12.935,2.5e-05,0.00015450904914542703,1.7e-06,0.00011064163531492197,0.00028187863734250836,0.00032301687538053127
35.772,8.14667,-2.77e-05,0.000154617,-0.00019531,0.000322268,13.038,2.47e-05,0.00015491140359379443,1.71e-06,0.0001111378995461623,0.00028185828676088615,0.00032238419780365697
35.881,8.168330000000001,-2.72e-05,0.000155249,-0.000193603,0.000321644,13.147,2.45e-05,0.00015533738174100704,1.71e-06,0.00011166315861906053,0.0002818376383923564,0.00032172491237987896
35.98,8.19,-2.69e-05,0.000155824,-0.000192052,0.00032100900000000003,13.246,2.42e-05,0.00015572444464510707,1.71e-06,0.00011214030563749877,0.0002818196748012535,0.00032113513982476793
36.093,8.21167,-2.62e-05,0.00015648,-0.000190281,0.000320528,13.359000000000002,2.4e-05,0.00015616643598667006,1.72e-06,0.00011268501739324937,0.0002818000897429791,0.00032047234365122524
36.19,8.23333,-2.59e-05,0.000157043,-0.000188762,0.00031989700000000003,13.456,2.380000000000001e-05,0.0001565460079231873,1.72e-06,0.00011315267783567983,0.00028178405849672676,0.0003199121180010005
36.297,8.255,-2.56e-05,0.000157664,-0.000187085,0.00031916400000000004,13.563,2.35e-05,0.00015696488607206153,1.72e-06,0.00011366863214637965,0.00028176721048226534,0.00031930337297597606
