Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha,SplFit,Poly5,TightSpl
635.59497,169.67167,0.009373000000000001,0.005129601,0.010326547,0.004176054,612.8609700000002,6.81e-06,0.004216215043392483,8.39e-06,0.004212069064654015,0.00417942350970664,0.0041766785143515185
635.659,169.69333,0.0093741,0.005130227,0.010327694,0.004176633,612.925,6.81e-06,0.004216759170730486,8.39e-06,0.004212621976213934,0.004179967892458472,0.004177230361160655
635.71698,169.715,0.0093749,0.005130794,0.010328733,0.004176961,612.98298,6.81e-06,0.004217251901728489,8.39e-06,0.004213122663449498,0.00418046087604264,0.004177729846744525
635.776,169.73667,0.0093764,0.005131371,0.010329791,0.00417798,613.0419999999998,6.82e-06,0.004217753487153957,8.39e-06,0.004213632349784917,0.0041809627393851155,0.004178238070717164
635.8389900000002,169.75833,0.0093774,0.005131986,0.010330919000000001,0.004178467,613.10499,6.82e-06,0.004218288829926121,8.39e-06,0.004214176340555662,0.004181498401921547,0.004178780226487395
635.90503,169.78,0.009378399999999999,0.005132632,0.010332102,0.00417893,613.17103,6.82e-06,0.004218850114200066,8.39e-06,0.004214746693979483,0.004182060047117395,0.004179348342582244
635.9630099999998,169.80167,0.009379299999999998,0.005133199000000001,0.010333141,0.004179358,613.22901,6.82e-06,0.004219342912153581,8.39e-06,0.004215247456250739,0.004182553183612195,0.004179846868180355
636.02301,169.82333,0.0093801,0.005133785,0.010334216,0.0041796690000000004,613.28901,6.82e-06,0.004219852895608169,8.39e-06,0.004215765683495095,0.004183063538737474,0.0041803625050352775
636.08002,169.845,0.0093811,0.0051343429999999995,0.010335236999999999,0.004180205,613.3460200000002,6.82e-06,0.004220337480548518,8.39e-06,0.004216258103290543,0.004183548496934522,0.004180852196802048
636.1439799999997,169.86667,0.009382,0.005134968,0.010336383000000001,0.004180584,613.40998,6.82e-06,0.004220881158648668,8.39e-06,0.004216810573559488,0.00418409261712007,0.004181401288905006
636.20398,169.88833,0.0093854,0.0051355540000000005,0.010337458,0.004183496,613.46998,6.82e-06,0.004221391193093562,8.39e-06,0.004217328857909196,0.00418460308870452,0.004181916091094814
636.26801,169.91,0.0093858,0.00513618,0.010338606,0.004183375,613.53401,6.82e-06,0.004221935503503079,8.39e-06,0.0042178819745725855,0.004185147889563248,0.004182465148602811
636.33002,169.93167,0.0093871,0.005136787,0.010339717,0.00418417,613.5960200000002,6.82e-06,0.004222462660521973,8.39e-06,0.00421841766222037,0.00418567554513089,0.00418299655896913
636.38702,169.95333,0.0093877,0.005137344,0.010340738,0.004184306,613.65302,6.82e-06,0.004222947242657028,8.39e-06,0.004218910087665808,0.004186160605997128,0.004183484744975315
636.45398,169.975,0.0093887,0.0051379979999999995,0.010341936999999999,0.0041847609999999995,613.71998,6.82e-06,0.004223516518644053,8.39e-06,0.004219488579800473,0.0041867304694079245,0.00418405787130533
636.51202,169.99667,0.0093897,0.005138566,0.010342977,0.004185289,613.77802,6.82e-06,0.004224009976225936,8.39e-06,0.004219990027838284,0.0041872244580505105,0.004184554323589529
