,Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,207.04401,43.50667,-8.3189e-05,0.0013119808060753427,0.0024068637672744336,-0.001178071961199091,184.98001,-6.368644704901308e-06,-0.0013160764603365783,4.825992734826156e-06
0,207.136,43.52833,-8.2427e-05,0.0013126800755642086,0.002408205837196309,-0.0011779527616321002,185.072,-6.364835100026477e-06,-0.001315632208559202,4.832703334894134e-06
0,207.235,43.55,-8.1404e-05,0.0013134327134491407,0.0024096502230469266,-0.0011776215095977859,185.17100000000002,-6.359643300504861e-06,-0.0013151534137495042,4.839917783103025e-06
0,207.327,43.57167,-8.0642e-05,0.0013141322100608793,0.002410992522345859,-0.0011775023122849798,185.263,-6.355841761630654e-06,-0.0013147078331840047,4.846615127137133e-06
0,207.418,43.59333,-7.9712e-05,0.0013148241750283373,0.0024123202709884104,-0.0011772080959600731,185.354,-6.3511340244077445e-06,-0.0013142664900419837,4.853233050337433e-06
0,207.51601,43.615,-7.8763e-05,0.001315569523718055,0.002413750344042867,-0.0011769438203248122,185.45201,-6.3463524624230934e-06,-0.0013137904756752976,4.860353406319136e-06
0,207.606,43.63667,-7.7724e-05,0.0013162539544150824,0.002415063436703278,-0.0011765334822881955,185.542,-6.3410628444675356e-06,-0.001313352798562348,4.86688439084888e-06
0,207.71201,43.65833,-7.684e-05,0.0013170603165632965,0.0024166103351643785,-0.0011763900186010819,185.64801,-6.336669154714246e-06,-0.0013128364527059651,4.874569764588429e-06
0,207.80299,43.68,-7.5827e-05,0.001317752430394694,0.0024179379583374513,-0.0011760125279427574,185.73899,-6.331532910471611e-06,-0.0013123926645821388,4.8811583951713394e-06
0,207.88901,43.70167,-7.4968e-05,0.0013184068772961874,0.0024191932389882407,-0.0011757543616920533,185.82501000000002,-6.327212691618061e-06,-0.0013119725196268598,4.887381785472141e-06
0,207.985,43.72333,-7.4168e-05,0.0013191372517334828,0.002420594052250517,-0.0011756248005170343,185.92100000000002,-6.323249124719823e-06,-0.0013115030468126149,4.894319553241987e-06
0,208.08,43.745,-7.3283e-05,0.0013198601712653473,0.002421980461182448,-0.0011754032899171005,186.01600000000002,-6.3188289712557e-06,-0.0013110377605951053,4.901178569467021e-06
0,208.17799,43.76667,-7.2243e-05,0.001320605924876878,0.002423410550387955,-0.0011750476255110768,186.11399,-6.3135910713164374e-06,-0.001310557147777892,4.908245964324335e-06
0,208.26801,43.78833,-7.1329e-05,0.0013212910953444464,0.0024247243636892433,-0.0011747622683447969,186.20401,-6.309006279428659e-06,-0.0013101150154994404,4.914731824182806e-06
0,208.358,43.81,-7.0465e-05,0.0013219761069441123,0.002426037777582579,-0.0011745266706384666,186.294,-6.304694035441112e-06,-0.0013096724472893015,4.921209102873748e-06
0,208.459,43.83167,-6.9302e-05,0.0013227450103167494,0.002427511929390826,-0.0011740689190740765,186.395,-6.298821959140945e-06,-0.0013091750383652412,4.928471214869122e-06
0,208.53999,43.85333,-6.8872e-05,0.0013233616426500654,0.0024286940589559568,-0.0011742044163058913,186.47599,-6.296812883556169e-06,-0.0013087756458662642,4.9342887288265035e-06
0,208.64101,43.875,-6.7809e-05,0.0013241308558905197,0.0024301685898917577,-0.0011738467340012381,186.57701,-6.2914864698562704e-06,-0.0013082768178043535,4.941537719480495e-06
0,208.735,43.89667,-6.674e-05,0.0013248466179787586,0.0024315405514207062,-0.0011734339334419476,186.67100000000002,-6.286107287376976e-06,-0.0013078120460009316,4.948274998219406e-06
0,208.823,43.91833,-6.5832e-05,0.0013255168330231475,0.0024328251155640006,-0.0011731402825408532,186.75900000000001,-6.281572949849019e-06,-0.0013073763204868502,4.9545765735818e-06
0,208.925,43.94,-6.4679e-05,0.0013262937561896362,0.002434314088133411,-0.001172699331943775,186.86100000000002,-6.275784309961815e-06,-0.0013068705814882281,4.961873008647937e-06
0,209.017,43.96167,-6.3783e-05,0.0013269945868410547,0.0024356571253117227,-0.001172445538470668,186.953,-6.271338456567522e-06,-0.0013064137867141606,4.968447051682333e-06
0,209.112,43.98333,-6.2915e-05,0.0013277183467156955,0.0024370439992908444,-0.0011722406525751488,187.048,-6.26705793472878e-06,-0.0013059414620715725,4.9752284458589236e-06
0,209.201,44.005,-6.2017e-05,0.0013283964655285184,0.0024383433200426676,-0.0011719638545141492,187.137,-6.2625982810141725e-06,-0.0013054983842685892,4.981575072802465e-06
0,209.302,44.02667,-6.1121e-05,0.0013291660982045076,0.002439817875587301,-0.0011717727773827933,187.238,-6.258199603621024e-06,-0.0013049948817823306,4.988769847316623e-06
0,209.39301,44.04833,-6.0107e-05,0.001329859680583849,0.002441146622937664,-0.0011713939423538152,187.32901,-6.253136886560256e-06,-0.001304540559087857,4.995246082628399e-06
0,209.48399,44.07,-5.9236e-05,0.0013305531051513156,0.0024424749715179694,-0.001171157866366654,187.41999,-6.248841793058754e-06,-0.0013040857973401038,5.001713650010545e-06
0,209.578,44.09167,-5.8275e-05,0.0013312696979112257,0.002443847600650411,-0.0011708529027391855,187.514,-6.244082589775619e-06,-0.001303615272374996,5.008389753855155e-06
0,209.66499,44.11333,-5.7576e-05,0.0013319328479194145,0.0024451177688728848,-0.0011707609209534702,187.60099,-6.240696922513417e-06,-0.0013031793240832522,5.0145611253833355e-06
0,209.76199,44.135,-5.6551e-05,0.0013326723833433233,0.002446534138511062,-0.001170412755167739,187.69799,-6.235616882033414e-06,-0.0013026925781818113,5.021435606498966e-06
0,209.854,44.15667,-5.5613e-05,0.0013333739489404433,0.0024478776866094457,-0.0011701167376690024,187.79000000000002,-6.2309853435699575e-06,-0.0013022302561647285,5.027949589460411e-06
0,209.95599,44.17833,-5.4685e-05,0.0013341516954129481,0.002449367011482995,-0.001169900316070047,187.89199000000002,-6.22645125037021e-06,-0.00130171708770286,5.035162328188251e-06
0,210.04401,44.2,-5.3602e-05,0.001334822982110088,0.002450652376854219,-0.0011694313947441311,187.98001,-6.221041241268852e-06,-0.0013012736190072436,5.041380522898794e-06
0,210.13699,44.22167,-5.2866e-05,0.0013355321682359724,0.002452010213473948,-0.0011693440452379754,188.07299,-6.217501222466742e-06,-0.0013008045663274483,5.047942494445523e-06
0,210.231,44.24333,-5.203e-05,0.0013362492855291987,0.002453383133347857,-0.0011691638478186584,188.167,-6.213437254240426e-06,-0.0013003296976618435,5.054570241099382e-06
0,210.323,44.265,-5.1126e-05,0.0013369511433946645,0.0024547267397342894,-0.001168901596339625,188.25900000000001,-6.209007783636506e-06,-0.0012998643791003503,5.061049551522585e-06
0,210.425,44.28667,-5.0239e-05,0.0013377293746023129,0.0024562164371259238,-0.001168726062523611,188.36100000000002,-6.204713621841097e-06,-0.0012993477860105806,5.068225355309069e-06
0,210.513,44.30833,-4.9373e-05,0.001338400861097014,0.0024575017058153506,-0.0011684738447183365,188.449,-6.20047782009104e-06,-0.0012989015100246671,5.074409673913883e-06
0,210.61301,44.33,-4.8418e-05,0.0013391640704401922,0.0024589624289614084,-0.001168216358521216,188.54901,-6.195823348641375e-06,-0.0012983936671650499,5.081430624737765e-06
0,210.703,44.35167,-4.742e-05,0.0013398508867688312,0.002460276842736097,-0.0011678459559672659,188.639,-6.190904086468153e-06,-0.0012979361052206648,5.087741432067545e-06
0,210.799,44.37333,-4.6537e-05,0.0013405836483877664,0.0024616790821344135,-0.001167632433746647,188.735,-6.186623751538648e-06,-0.0012974473591725124,5.094466698706127e-06
0,210.89101,44.395,-4.5616e-05,0.001341286028339458,0.0024630230818763147,-0.0011673530535368567,188.82701,-6.18212963037892e-06,-0.0012969783210163034,5.1009056580566315e-06
0,210.979,44.41667,-4.4825e-05,0.0013419577881733534,0.0024643083985152157,-0.0011671756103418625,188.91500000000002,-6.178310935298215e-06,-0.0012965292216510908,5.107057080467484e-06
0,211.075,44.43833,-4.3658e-05,0.0013426907756253128,0.0024657107632471793,-0.0011666779876218665,189.011,-6.172540157037773e-06,-0.0012960386222985638,5.113761559413072e-06
0,211.17599,44.46,-4.2728e-05,0.0013434619478971026,0.0024671860687709634,-0.0011664521208738607,189.11199000000002,-6.168049529138055e-06,-0.0012955218277053448,5.120806733289873e-06
